,date,symbol,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil
0,2020,AAPL,2.74515E+11,1.69559E+11,1.04956E+11,0.382332477,18752000000,19916000000,0,19916000000,-87000000,38668000000,2.08227E+11,2873000000,11056000000,77344000000,0.28174781,66288000000,0.241473144,-87000000,67091000000,0.244398302,9680000000,57411000000,0.209136113,3.31,3.28,17352119000,17528214000
1,2019,AAPL,2.60174E+11,1.61782E+11,98392000000,0.378177681,16217000000,18245000000,0,18245000000,422000000,34462000000,1.96244E+11,3576000000,12547000000,76477000000,0.29394559,63930000000,0.245720172,422000000,65737000000,0.252665524,10481000000,55256000000,0.212380945,2.9925,2.9725,18471336000,18595652000
2,2018,AAPL,2.65595E+11,1.63756E+11,1.01839E+11,0.383437188,14236000000,16705000000,0,16705000000,-441000000,30941000000,1.94697E+11,3240000000,10903000000,81801000000,0.307991491,70898000000,0.266940266,-441000000,72903000000,0.274489354,13372000000,59531000000,0.224142021,3.0025,2.9775,19821508000,20000436000
3,2017,AAPL,2.29234E+11,1.41048E+11,88186000000,0.384698605,11581000000,15261000000,0,15261000000,-133000000,26842000000,1.6789E+11,2323000000,10157000000,71501000000,0.311912718,61344000000,0.267604282,-133000000,64089000000,0.279578946,15738000000,48351000000,0.210924208,2.3175,2.3025,20868968000,21006768000
4,2016,AAPL,2.15639E+11,1.31376E+11,84263000000,0.390759556,10045000000,14194000000,0,14194000000,-1195000000,24239000000,1.55615E+11,1456000000,10505000000,70529000000,0.327069779,60024000000,0.278354101,-1195000000,61372000000,0.284605289,15685000000,45687000000,0.211867983,2.0875,2.0775,21883280000,22001124000
5,2015,AAPL,2.33715E+11,1.40089E+11,93626000000,0.40059902,8067000000,14329000000,0,14329000000,-903000000,22396000000,1.62485E+11,733000000,11257000000,82487000000,0.352938408,71230000000,0.304772907,-903000000,72515000000,0.310271057,19121000000,53394000000,0.228457737,2.32,2.305,23013684000,23172276000
6,2014,AAPL,1.82795E+11,1.12258E+11,70537000000,0.385880358,6041000000,11993000000,0,11993000000,-431000000,18034000000,1.30292E+11,384000000,7946000000,60449000000,0.330692853,52503000000,0.287223392,-431000000,53483000000,0.292584589,13973000000,39510000000,0.216143768,1.6225,1.6125,24342288000,24490652000
7,2013,AAPL,1.7091E+11,1.06606E+11,64304000000,0.376244807,4475000000,10830000000,0,10830000000,-324000000,15305000000,1.21911E+11,136000000,6757000000,55756000000,0.32623018,48999000000,0.286694752,-324000000,50155000000,0.293458545,13118000000,37037000000,0.216704698,1.429643,1.419643,25909268000,26086536000
8,2012,AAPL,1.56508E+11,87846000000,68662000000,0.438712398,3381000000,10040000000,0,10040000000,-566000000,13421000000,1.01267E+11,0,3277000000,58518000000,0.37389782,55241000000,0.352959593,-566000000,55763000000,0.356294886,14030000000,41733000000,0.266650906,1.594286,1.576786,26174904000,26469940000
9,2011,AAPL,1.08249E+11,64431000000,43818000000,0.404788959,2429000000,7599000000,0,7599000000,-104000000,10028000000,74459000000,0,1814000000,35604000000,0.32890835,33790000000,0.31215069,-104000000,34205000000,0.315984443,8283000000,25922000000,0.239466415,1.001786,0.988571,25879224000,26226060000
10,2010,AAPL,65225000000,39541000000,25684000000,0.393775393,1782000000,5517000000,0,5517000000,-156000000,7299000000,46840000000,0,1027000000,19412000000,0.297615945,18385000000,0.281870448,-156000000,18540000000,0.284246838,4527000000,14013000000,0.214840935,0.550357,0.541071,25464908000,25891936000
11,2009,AAPL,36537000000,23397000000,13140000000,0.359635438,1333000000,4149000000,0,4149000000,-81000000,5482000000,28879000000,0,734000000,8392000000,0.229684977,7658000000,0.209595752,-81000000,7984000000,0.218518214,2280000000,5704000000,0.156115718,0.228214,0.224643,25004448000,25396140000
12,2008,AAPL,32479000000,21334000000,11145000000,0.343144801,1109000000,3761000000,0,3761000000,-33000000,4870000000,26204000000,0,473000000,6748000000,0.207765017,6275000000,0.193201761,-33000000,6895000000,0.212291019,2061000000,4834000000,0.148834632,0.195714,0.191429,24684576000,25259892000
13,2007,AAPL,24006000000,15852000000,8154000000,0.339665084,782000000,2963000000,0,2963000000,-48000000,3745000000,19597000000,0,317000000,4726000000,0.19686745,4409000000,0.183662418,-48000000,5008000000,0.208614513,1512000000,3496000000,0.145630259,0.144286,0.140357,24208660000,24900176000
14,2006,AAPL,19315000000,13717000000,5598000000,0.28982656,712000000,2433000000,0,2433000000,-29000000,3145000000,16862000000,0,225000000,2678000000,0.138648719,2453000000,0.126999741,-29000000,2818000000,0.145896971,829000000,1989000000,0.102976961,0.084286,0.081071,23633624000,24570728000
15,2005,AAPL,13931000000,9888000000,4043000000,0.290216065,534000000,1859000000,0,1859000000,0,2393000000,12281000000,0,179000000,1829000000,0.131289929,1650000000,0.118440887,-18000000,1815000000,0.130284976,480000000,1335000000,0.095829445,0.058929,0.055714,22636292000,23989840000
16,2004,AAPL,8279000000,6020000000,2259000000,0.272859041,489000000,1421000000,0,1421000000,-9000000,1910000000,7930000000,3000000,150000000,499000000,0.06027298,349000000,0.04215485,-27000000,383000000,0.046261626,107000000,276000000,0.03333736,0.013214,0.012679,20809040000,21689416000
17,2003,AAPL,6207000000,4499000000,1708000000,0.275173192,471000000,1212000000,0,1212000000,-5000000,1683000000,6182000000,8000000,113000000,138000000,0.022232963,25000000,0.004027711,6000000,92000000,0.014821975,24000000,69000000,0.011116481,0.00341663,0.003389981,20195336000,20354096000
18,2002,AAPL,5742000000,4139000000,1603000000,0.279171021,447000000,1111000000,0,1111000000,5000000,1558000000,5697000000,11000000,114000000,159000000,0.0276907,45000000,0.007836991,-65000000,87000000,0.015151515,22000000,65000000,0.011320098,0.003269415,0.003208299,19881232000,20259960000
19,2001,AAPL,5363000000,4128000000,1235000000,0.230281559,441000000,1138000000,0,1138000000,8000000,1579000000,5707000000,16000000,100000000,-244000000,-0.045496923,-344000000,-0.064143203,90000000,-52000000,-0.009696066,-15000000,-25000000,-0.00466157,-0.00125,-0.00125,19354328000,19354328000
20,2000,AAPL,7983000000,5817000000,2166000000,0.271326569,380000000,1166000000,0,1166000000,6000000,1546000000,7363000000,21000000,84000000,704000000,0.088187398,620000000,0.077665038,283000000,1092000000,0.13679068,306000000,786000000,0.098459226,0.043214,0.038929,18175808000,20178144000
21,1999,AAPL,6134000000,4438000000,1696000000,0.276491686,314000000,996000000,0,996000000,-2000000,1310000000,5748000000,47000000,85000000,471000000,0.076785132,386000000,0.062927943,193000000,676000000,0.110205412,75000000,601000000,0.097978481,0.0375,0.032232,16033584000,19506368000
22,1998,AAPL,5941000000,4462000000,1479000000,0.248947989,310000000,908000000,0,908000000,-8000000,1218000000,5680000000,62000000,111000000,372000000,0.062615721,261000000,0.043931998,30000000,329000000,0.055377883,20000000,309000000,0.052011446,0.020893,0.01875,14781088000,18806704000
