,date,symbol,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
0,2020,AAPL,57411000000,11056000000,-215000000,6829000000,5690000000,6917000000,-127000000,-4062000000,38321000000,-97000000,80674000000,-7309000000,-1524000000,-1.15148E+11,1.20483E+11,-791000000,-4289000000,-12629000000,880000000,-72358000000,-14081000000,-3760000000,-86820000000,0,-10435000000,39789000000,50224000000,80674000000,-7309000000,73365000000
1,2019,AAPL,55256000000,12547000000,-340000000,6068000000,-3488000000,245000000,-289000000,-1923000000,57101000000,-652000000,69391000000,-10495000000,0,-40631000000,98724000000,-1078000000,45896000000,-8805000000,781000000,-66897000000,-14119000000,-2922000000,-90976000000,0,24311000000,50224000000,25913000000,69391000000,-10495000000,58896000000
2,2018,AAPL,59531000000,10903000000,-32590000000,5340000000,34694000000,-5322000000,828000000,9175000000,14473000000,-444000000,77434000000,-13313000000,0,-73227000000,1.04072E+11,-745000000,16066000000,-6500000000,669000000,-72738000000,-13712000000,-2527000000,-87876000000,0,5624000000,25913000000,20289000000,77434000000,-13313000000,64121000000
3,2017,AAPL,48351000000,10157000000,5966000000,4840000000,-5550000000,-2093000000,-2723000000,9618000000,27831000000,-166000000,63598000000,-12451000000,0,-1.59881E+11,1.26339E+11,220000000,-46446000000,-3500000000,555000000,-32900000000,-12769000000,-1247000000,-17347000000,0,-195000000,20289000000,20484000000,63598000000,-12795000000,50803000000
4,2016,AAPL,45687000000,10505000000,4938000000,4210000000,484000000,1095000000,217000000,1791000000,27863000000,4696000000,66231000000,-12734000000,-297000000,-31110000000,21258000000,-23094000000,-45977000000,-2500000000,495000000,-29227000000,-12150000000,23394000000,-20890000000,0,-636000000,20484000000,21120000000,66231000000,-12734000000,53497000000
5,2015,AAPL,53394000000,11257000000,1382000000,3586000000,11647000000,611000000,-238000000,5400000000,8768000000,3586000000,81266000000,-11247000000,-343000000,-35253000000,14538000000,-23969000000,-56274000000,-1499000000,543000000,-34710000000,-11561000000,28555000000,-17716000000,0,7276000000,21120000000,13844000000,81266000000,-11247000000,69778000000
6,2014,AAPL,39510000000,7946000000,2347000000,2863000000,7047000000,-4232000000,-76000000,5938000000,5083000000,2863000000,59713000000,-9571000000,-3765000000,-45000000000,18810000000,16947000000,-22579000000,-1158000000,730000000,-44270000000,-11126000000,17847000000,-37549000000,0,-415000000,13844000000,14259000000,59713000000,-9571000000,49900000000
7,2013,AAPL,37037000000,6757000000,1141000000,2253000000,6478000000,-2172000000,-973000000,2340000000,29628000000,2253000000,53666000000,-8165000000,-496000000,-22860000000,20317000000,-22570000000,-33774000000,-1082000000,530000000,-22330000000,-10564000000,16515000000,-16379000000,0,3513000000,14259000000,10746000000,53666000000,-8165000000,44590000000
8,2012,AAPL,41733000000,3277000000,4405000000,1740000000,-299000000,-5551000000,-15000000,4467000000,19111000000,1740000000,50856000000,-8295000000,-350000000,-1.51232E+11,13035000000,-52617000000,-48227000000,-1226000000,665000000,665000000,-2488000000,10871000000,-1698000000,0,931000000,10746000000,9815000000,50856000000,-8295000000,41454000000
9,2011,AAPL,25922000000,1814000000,2868000000,1168000000,5757000000,143000000,275000000,2515000000,17018000000,1168000000,37529000000,-4260000000,-244000000,-1.02317E+11,20437000000,-56352000000,-40419000000,-520000000,831000000,831000000,0,10428000000,1444000000,0,-1446000000,9815000000,11261000000,37529000000,-4260000000,30077000000
